feature,gain_importance,split_importance
V258,511492.12438201904,56
C5,255654.2480354309,207
D1n,189259.754447937,1366
D3,178924.87989091873,337
C13,166179.99767827988,630
C1,153483.9343008995,364
C14,148227.53949546814,317
card1,147254.20076036453,1453
D2n,139602.22892284393,899
card2,138887.1308040619,1329
TransactionAmt,131086.9025592804,1091
D15n,113390.9772849083,1166
addr1,109964.77914428711,1177
D2,99988.63025665283,405
D10n,93624.54197216034,1055
C11,87152.75761318207,219
card6_label,65176.9028711319,116
P_emaildomain_label,62772.50532722473,470
C6,59853.66339111328,315
card5,56553.66587162018,517
D4,53236.33186817169,533
M4_freq,51502.48030281067,120
V257,46050.28337574005,16
D15,46036.338344573975,420
C2,42936.05933189392,296
C8,42522.7088804245,68
dist1,39549.37030029297,492
card3,38985.495025634766,193
card6_freq,36847.402507305145,85
C9,36282.43076610565,246
P_emaildomain_freq,33824.461265563965,435
D8,32806.42254400253,379
M4_label,32767.147941589355,153
M5_label,32614.564945220947,162
D1,31220.335703372955,238
D10,31023.933925628662,358
C10,30652.079652309418,78
M5_freq,28404.64240837097,151
id_02,25738.613397598267,378
C4,24577.372639656067,46
DT_hour,24457.989450454712,388
ProductCD_label,23436.396056175232,110
R_emaildomain_label,22748.844269752502,238
V189,22162.365325927734,26
V45,21479.091588974,103
V243,21391.940633773804,8
D5,20962.767378807068,208
M6_freq,20898.257358551025,112
DeviceInfo_label,20131.93961906433,249
id_20,20042.202794075012,343
TransactionAmt_log1p,19518.736451148987,218
D11,19174.14471435547,263
id_01,16158.50237941742,109
C12,15689.453067779541,96
V87,14233.01081085205,103
DeviceInfo_freq,13916.955774784088,195
V78,12737.081829071045,113
V201,12636.431181907654,12
id_19,12452.517813682556,266
id_13,12248.697360992432,174
V140,11938.094935417175,56
ProductCD_freq,11216.758337020874,69
missing_D_count,10851.075897216797,102
V262,10809.73031616211,49
id_05,10777.178005218506,190
V38,10582.719959259033,82
M6_label,10414.866968154907,104
card4_label,9753.203035354614,124
dist2,9139.718961715698,191
V156,9033.920075416565,43
id_14,8974.047323226929,134
id_06,8244.470711708069,143
M3_label,8177.35075378418,66
missing_V_count,7756.413185596466,109
R_emaildomain_freq,7699.468132019043,86
V149,7649.214714050293,37
id_17,7447.011817932129,69
card4_freq,7424.888323307037,94
V94,7192.840385437012,17
D13,7097.079027175903,100
V37,6325.841437339783,55
id_18,5930.066294670105,70
DeviceType_freq,5446.859329223633,30
V74,5389.777018547058,50
D6,5359.956415176392,67
id_32,5243.780181884766,29
V58,5120.7963008880615,21
D14,5049.397096633911,113
id_09,5006.256153106689,42
D9,4875.999125480652,111
D12,4703.391193389893,61
V86,4482.041186332703,62
addr2,4467.482327461243,27
C7,3981.8571672439575,20
C3,3874.8512921333313,43
V64,3838.863203048706,26
V170,3762.2195205688477,49
id_03,3686.241163253784,39
D7,3651.2340059280396,40
V44,3478.45675945282,47
V47,3374.132227420807,29
V217,2903.5500812530518,27
missing_core_count,2810.8761501312256,31
V52,2751.725128173828,24
V23,2688.5451259613037,36
TransactionAmt_outlier_iqr,2585.188777923584,10
V79,2524.397912979126,13
M3_freq,2427.147834777832,13
V148,2302.482446670532,24
V157,2202.97931098938,19
M2_label,2077.5149869918823,24
V33,2061.524612426758,19
V171,2010.8489971160889,17
M9_label,1939.0024976730347,26
M7_label,1897.1751098632812,33
missing_id_count,1893.6500959396362,44
V57,1866.4220142364502,13
V219,1836.8738737106323,26
V81,1777.1534051895142,33
V39,1712.8889179229736,9
M8_label,1653.0179920196533,28
V154,1647.3912906646729,11
V199,1634.2530937194824,7
M9_freq,1629.4224948883057,22
V232,1591.5152044296265,37
V63,1559.150302886963,21
V34,1487.4582901000977,9
V177,1409.1329908370972,15
id_11,1382.1100025177002,29
V228,1382.009804725647,18
V233,1308.5506134033203,16
V230,1279.2513008117676,28
V40,1244.8717889785767,22
V158,1240.7962036132812,15
V146,1192.373230934143,13
V231,1144.783166885376,9
id_04,1106.7740306854248,32
V60,1060.187707901001,11
V155,1046.8625020980835,5
V200,971.8960905075073,16
V51,943.0612173080444,15
V188,864.4317979812622,7
id_24,859.8544044494629,14
V190,838.5265960693359,4
DeviceType_label,836.3736972808838,20
V50,773.6288166046143,10
M8_freq,749.1789951324463,10
V85,742.4735975265503,14
V252,728.6825075149536,4
V73,706.5183877944946,17
M2_freq,692.4441013336182,7
id_21,669.5099983215332,17
V147,668.187991142273,13
V197,602.4360032081604,25
V153,585.0076417922974,9
M7_freq,563.6824932098389,11
V16,539.0336990356445,4
V72,515.2254905700684,6
V84,513.4112024307251,12
V246,454.9691047668457,4
V43,454.36159896850586,9
V15,432.14349937438965,8
id_08,431.86329460144043,7
id_26,379.1468963623047,12
id_25,372.701132774353,18
V244,348.08730697631836,5
id_07,326.6801977157593,9
V247,299.5097999572754,11
M1_freq,235.06199645996094,1
V93,174.8492021560669,4
V42,163.31640434265137,3
V71,161.08539962768555,5
V18,150.43759727478027,3
V242,140.78290176391602,7
V92,132.85800170898438,1
V32,130.78400421142578,2
id_10,125.13369750976562,5
V80,68.0279016494751,3
M1_label,44.58219909667969,1
V21,25.464599609375,1
V17,0.0,0
V22,0.0,0
V31,0.0,0
has_identity,0.0,0
id_22,0.0,0
